# 형식: 種類|日本語|読み|韓国語|メモ   (E = 표현・문형, V = 단어)
# --- 표현 ---------------------------------------------------
E|四六時中そんなことばっか考えてる|よんろくじちゅう そんな ことばっか かんがえてる|하루 종일 그런 것만 생각한다|四六時中=하루 종일(24×6시간 → 관용구)
E|助けてもらいたいんですけど|たすけてもらいたいんですけど|도움을 좀 받고 싶은데요|〜てもらいたい=~해 받고 싶다
E|逆になんでタダなの|ぎゃくに なんで ただなの|오히려 왜 공짜인 건데|逆に=오히려·반대로
E|取引相手がどこの誰かなんてどうでもいい|とりひきあいてが どこの だれかなんて どうでもいい|거래 상대가 어디 사는 누구든 상관없다|〜なんてどうでもいい=~든 상관없다
E|金さえ払えば仕事するつってんの|かねさえ はらえば しごとするつってんの|돈만 내면 일한다고 말하는 거야|〜さえ〜ば=~만 ~하면
E|妥当な金額受け取れれば仕事する|だとうな きんがく うけとれれば しごとする|타당한 금액을 받을 수 있으면 일한다|受け取れる=받을 수 있다(가능형)
E|残り半分は仕事終わってから払う|のこり はんぶんは しごと おわってから はらう|나머지 절반은 일 끝난 뒤에 낸다|〜てから=~하고 나서
E|お金あってもどうにもならなかった|おかね あっても どうにも ならなかった|돈이 있어도 어떻게 할 수 없었다|どうにもならない=어떻게 할 도리가 없다
E|やっぱありがとうでいいんじゃない|やっぱ ありがとうで いいんじゃない|역시 고맙다고 해도 되지 않을까|〜んじゃない=~인 거 아니야?(제안)
E|この先ついてった方がいい？|このさき ついてったほうが いい|이 다음도 따라가는 게 좋아?|〜た方がいい=~하는 편이 좋다
# --- 단어 ---------------------------------------------------
V|前金|まえきん|선금|
V|オーバーライド|オーバーライド|오버라이드|
V|バッファー|バッファー|버퍼|
V|発注書|はっちゅうしょ|발주서|
V|税金|ぜいきん|세금|
V|分割|ぶんかつ|분할|
