# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|임금, 임금, 임금, 임금, 임금, 임금, 임금, 임금, 임금, 임금!|ちんぎん ちんぎん ちんぎん ちんぎん ちんぎん ちんぎん ちんぎん ちんぎん ちんぎん ちんぎん|
2|이거 뭐야?|これ なん|
3|…●자지|●んちん|
4|바지거든요!|ズボンなんですけど|
5|아, 그런 거였어? 너 그거 치사하다!|あー そういうこと おまえ それ せこいわ|
6|싫어~ 커트 변태~|やだ カートくん へんたい|
7|하루 종일 그런 것만 생각하니까 그런 거야~|よんろくじちゅう そんな ことばっか かんがえてるからだよ|
8|하루 종일 그 생각만 하는 거 아니거든|よんろくじちゅう ちんちんのこと かんがえてねぇよ|
9|그럼 다음은 '짜다'를 10번…|じゃあ つぎ しょっぱいって じゅっかい|
10|무슨 일이세요 아키나 씨|どうしました あきなちゃん|
11|마키나예요|まきなです|
12|마키나 씨|まきなちゃん|
13|아니…|いや|
14|도움을 좀 받고 싶은데요|たすけてもらいたいんですけど|
15|아, 전멸했구나|あ ぜんめつしたんだ|
16|네|はい|
17|좋아|いいよ|
18|어, 괜찮아?|え いいの|
19|아, 얼마 낼 수 있는데?|ああ いくら だせんの|
20|아, 돈 받는 거야?|あぁ おかね とんの|
21|어, 오히려 왜 공짜라고 생각한 거야?|え ぎゃくに なんで ただなの|
22|…얼마인데요?|いくらですか|
23|…뭐, 80엔 정도|まぁ はちじゅうえんくらい|
24|…그러네|そうだね|
25|80!? …그렇게 받는 거야?|はちじゅう!? そんな とんの|
26|분할도 가능해|ぶんかつも できるよ|
27|뭐, 우리도 어느 정도 리스크를 지고 하는 거니까|まぁ おれらも あるていど リスク しょってやるからね|
28|너희들 일반인 상대로도 그런 금액을 요구하는 거야?|あんたら いっぱんにん あいてでも そんな きんがく ようきゅうすんの|
29|너 무슨 소리 하는 거야?|おまえ なにいってんの|
30|거래 상대가 어디 사는 누구든 상관없어|とりひきあいてが どこの だれかなんて どうでもいいんだよ|
31|돈만 내면 일한다고 말하는 거야|かねさえ はらえば しごとするつってんの|
32|타당한 금액을 받을 수 있으면 일하고, 못 내면 아무것도 안 해|だとうな きんがく うけとれれば しごとするし はらえないなら なんもしないよ|
33|딱히 친절해서 하는 게 아니니까|べつに しんせつでやってる わけじゃないんだから|
34|(혀를 참) 하아~|(したうち)はぁー|
35|엇! 갑자기 40엔이 입금됐는데|えっ なんか きゅうに よんじゅうえん ふりこまれたんだけど|
36|뭐? 이 타이밍에?|は このタイミングで|
37|그거 선금이야|それ まえきんね|
38|나머지 절반은 일 끝난 뒤에 낼 테니까 괜찮아?|のこり はんぶんは しごと おわってから はらうので よい|
39|…너 정체가 뭐야?|おまえ なにものだよ|
40|무슨 소리 하는 거야?|なにいってんの|
41|내가 어디 사는 누군지가 뭐가 중요해|あーしが どこの だれかなんて どうでもいいじゃん|
42|돈만 내면 일해 줄 거잖아?|かねさえ はらえば しごとしてくれんでしょ|
43|오버라이드는 얼마나 걸릴 것 같아?|オーバーライド どんくらい かかりそ|
44|음-|んー|
45|타이탄의 킬로이 후기형 모델이지? 아마 45초 정도|タイタンの キルロイ こうきがたモデルでしょ たぶん よんじゅうごびょうとか|
46|오케이|オッケー|
47|버퍼는?|バッファーは|
48|3|さん|
49|알겠어~|りょうかいー|
50|그럼 부탁해요~|じゃ おねがいしまーす|
51|부탁해요~|おねがいしまーす|
52|으아----!|うおーー|
53|대단해!!|すごーい!!|
54|아----다행이다, 진짜 더 못 가는 줄 알았어!|あーー よかった ほんと さきすすめないかと おもったね|
55|다행이다~ 진짜 죽는 줄 알았어~|よかったー まじで しぬかとおもったー|
56|야, 방금 대단했지|ねー すごかったね いまの|
57|아, 응|あ うん|
58|카나타 뛰지 마!|カナタ はしるな|
59|나머지|のこり|
60|알고 있다고|わぁってるよ|
61|아, 그리고 발주서 써|あぁ あと はっちゅうしょ かいて|
62|하? 귀찮아|はぁ めんどくさ|
63|미안, 안 받으면 완전 혼난단 말이야|ごめん もらわないと めっちゃ おこられんの|
64|저기~ 둘 다 고마워|ねぇー ふたりとも ありがとうね|
65|헤?|へ|
66|뭐?|は|
67|…어, 아니, 로봇 해치워줘서 고맙다고|え いや ロボット やっつけてくれたから ありがとうって|
68|딱히… 돈 때문에 한 것뿐이니까|べつに おかねもくてきで やっただけだから|
69|아니…|いや|
70|아… 근데, 두 사람이 없었으면 돈이 있어도 어떻게 할 수 없었으니까|あー でも ふたり いなかったら おかね あっても どうにも ならなかったから|
71|역시 고맙다고 해도 되지 않을까?|やっぱ ありがとうで いいんじゃない|
72|…오,|おお|
73|…천… 만에요|どう いたしまして|
74|마키나 먼저 가 있을게|マキナ さきいってるね|
75|어|おう|
76|…이거 세금이라는 게…|これ ぜいきんって|
77|그건 이제 됐어|それ もういいよ|
78|어?|え|
79|…그렇게 어려운 일도 아니었고|そんな むずいしごとじゃ なかったし|
80|응|うん|
81|아, 그래…|あぁ そう|
82|우리 이 다음도 따라가는 게 좋아?|おれら このさき ついてったほうが いい|
83|어, 괜찮아?|え いいの|
84|딱히 괜찮아|べつに いいよ|
85|어, 고마워|え ありがとう|
86|아까 낸 돈은?|さっき はらったぶんは|
87|그건 받아둘게|それは もらっとく|
88|그건 챙겨둘게|それは とっとく|
