# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|동물 전반이 아니라 물고기 한정 마법이네요.|どうぶつ ぜんぱんでは なくて さかな げんていの まほうなんですね|
2|슈타르크가 지금 저녁거리 물고기를 낚으러 갔으니까, 돌아오면 시험해 볼까.|シュタルクが いま ゆうはんの さかなを つりに いっているから かえってきたら ためしてみようか|
3|다녀왔어. 봐, 제대로 세 마리 낚았다고.|ただいま ほら ちゃんと さんびき つれたぞ|
4|다음은 장작 좀 가져와 줘.|つぎは たきぎを とってくれよ|
5|아.|あ|
6|아아, 낚여 버렸네.|ああ つられちゃった|
7|어제는 아빠, 오늘은 우리인가. 우리 가족 운이 없네.|きのうは とうちゃん きょうは おれたちか うちの かぞく ついてないね|
8|이제 이 녀석들한테 먹히는 건가.|これから こいつらに たべられるのか|
9|우린 구워지는 걸까, 아니면 조림이 되는 걸까.|おれたち やかれるのか それとも につけに されるのか|
10|오늘은 아무래도 다른 걸 먹고 싶네.|きょうは やっぱり ちがう もの たべたいな|
11|다녀왔어.|ただいま|
12|프리렌 님, 이 물고기 놓아주고 오세요.|ふりーれんさま この さかな にがしてきて あげてください|
13|어, 왜? 어째서?|え なんで どうして|
