# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|네 레일자이덴은 싸움 말고도 쓸모 있지 않아?|きみの レイルザイデンって たたかい いがいでも やくだつんじゃ ないの|
2|글쎄. 예를 들면 어떤 때일 것 같아?|どうだろう たとえば どんな ときだと おもう|
3|글쎄. 상상한 대로 잘린다면 요리라든가.|そうだな イメージどおりに きれるんなら りょうりとか|
4|생각해본 적도 없었네.|かんがえた ことも なかったなあ|
5|한가하니 해볼까.|ひまだし やってみようか|
6|저기, 주방 좀 빌려주지 않을래?|ねえ ちょっと ちゅうぼうを かしてくれない|
7|뭐야, 갑자기. 뭐 이제 다른 손님도 없고.|なんだよ きゅうに まあ もう ほかに おきゃくも いないし|
8|아, 그럼 내 점심 좀 만들어줘. 여기 있는 재료 써도 되니까.|あ じゃあ おれの ひるめしを つくってくれよ ここに ある ざいりょうを つかって いいからよ|
9|만들 수 있을지는 모르겠지만.|つくれるかは わかんないけどね|
10|대단한데.|すごいな|
11|이렇게 빨리, 크기도 모양도 딱 좋아.|こんなに はやく おおきさも かたちも ちょうどいい|
12|대단하네. 그럼 우린 테이블에서 기다릴게.|すげえな じゃあ おれたちは テーブルで まってるからよ|
13|어, 나도 먹는 거야?|え ぼくも たべるの|
14|이게 뭐야?|なに これ|
15|몰라. 대충 한 건데.|わかんない てきとうに やったんだけど|
16|자른 다음이 문제인가.|きった あとが もんだいか|
17|누나, 역시 내가 직접 만들어도 될까?|あねちゃん やっぱり おれ じぶんで つくっていいか|
18|왜? 먹어줘.|なんで たべてよ|
19|안경 군, 분신 금지야.|メガネくん ぶんしん きんしね|
