# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|이 보물상자, 꽤 괜찮은 물건이 들어 있는 것 같아.|この たからばこ なかなかな しろものが はいっている きがする|
2|프리렌 님, 세 개나 나란히 있는 시점에서 정상이 아니에요. 분명 미믹 나올 거예요.|ふりーれんさま みっつ ならんでる じてんで ふつうじゃ ないです ぜったい ミミック でてきます|
3|그건 모르는 거잖아.|そんなの わからないよね|
4|아, 그럼 지난번 운이 좋아지는 마법을 쓰면 어때.|あ じゃあ こないだの うんが よくなる まほう つかったら どうだ|
5|대단해, 당첨이야.|すげえ あたりだ|
6|운이 올라간 거네요. 다행이에요.|うんきが あがったんですね よかった|
7|그럼 이쪽도 가볼까.|じゃあ こっちも いってみようか|
8|어, 프리렌 님, 또 가시게요?|え ふりーれんさま まだ いくんですか|
9|대단해, 또 당첨이야.|すげえ また あたりだ|
10|자 가시죠, 프리렌 님.|さあ いきましょう ふりーれんさま|
11|아직이야.|まだだ|
12|네?|え|
13|어두워, 무서워.|くらいよ こわいよ|
14|프리렌 님, 혹시 일부러 그러신 거예요?|ふりーれんさま もしかして わざとですか|
