# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|역시 프리렌. 우리로선 어쩌지도 못했던 마물을 일격에 잡아버리다니.|さすが ふりーれん ぼくたちじゃ どうしようも なかった まものを いちげきで しとめるなんて|
2|정말 대단하세요. 오구오구.|ほんとう さすがですね よしよし|
3|머리 쓰다듬지 말라니까.|あたま なでるなって|
4|죄송해요. 키로 봐도 쓰다듬기 좋아서요.|すみません しんちょうてきにも なでやすい もので|
5|참나. 그러고 보니 지난번에 보상으로 키가 자라는 마법을 받았던가.|まったく そういえば こないだ ほうしゅうで しんちょうを のばす まほうを もらったっけ|
6|오, 어때? 키도 내가 더 커. 게다가 나이도 위. 완전히 내가 언니야. 이제 머리는 못 쓰다듬겠지.|おお どう しんちょうも わたしの ほうが たかい それに ねんれいも うえ かんぜんに わたしの ほうが おねえさんだ もう あたまは なでられないね|
7|크긴 한데, 뭔가 프리렌답지 않아. 좋은 점이 없어진 것 같은.|たかいけど なんか ふりーれんじゃ ない よさが なくなった ような|
8|좋은 점이라니 뭔데. 실례네.|なんだよ よさって しつれいだな|
9|프리렌, 나한테도 해봐줘.|ふりーれん おれにも やってみてくれ|
10|아이젠도? 응.|アイゼンも うん|
11|그러든가.|いいけど|
12|좋은 점이 없어졌네.|よさが なくなったね|
13|실례다.|しつれいだぞ|
