# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|운이 좋아진다는 게 어느 정도일까요.|うんが よくなるって どの ていどなんでしょう|
2|슈타르크한테 시험해 볼까.|シュタルクで ためしてみようか|
3|좀 기대되는데. 진짜 효과 있는 거야?|ちょっと たのしみだな ほんとうに きくのか|
4|이 근처는 아무튼 마물이 많단 말이지.|この へんって とにかく まものが おおいんだよね|
5|이쪽 길이 마물이 안 나올 것 같아.|こっちの みちの ほうが まものは でないと おもう|
6|진짜로 마물이랑 마주치지 않네요.|ほんとうに まものと そうぐうしませんね|
7|내가 말한 대로지.|いった とおりだろう|
8|마법이 듣고 있는 걸까.|まほうが きいてるのかな|
9|그냥 우연 아닐까.|たまたまなんじゃないか|
10|대박 당첨!|おおあたり|
11|최고급 고기를 증정.|さいこうきゅうにくを プレゼント|
12|오, 이건 역시 효과가 있는 걸지도.|お これは やっぱり きいてるのかも|
13|신빙성 있네요.|しんぴょうせい ありますね|
14|아까 그거, 나한테도 걸어줘.|さっきの おれにも かけてくれ|
15|왜?|なんで|
16|사나이의 승부를 하고 오려고.|おとこの しょうぶを してくるのさ|
17|도박이네요. 성직자면서.|ギャンブルですね そうりょなのに|
18|다녀왔어.|ただいま|
19|홀딱 털렸잖아.|みぐるみ はがされてる|
20|마법이 안 들었던 걸까.|まほう きかなかったのかな|
21|하이터가 약한 것뿐 아닐까?|ハイターが よわいだけなんじゃない|
22|상대가 강했던 거야.|あいてが つよかったのさ|
