# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|뭔가 별난 마법의 마도서를 찾았거든.|なんか かわった まほうの まどうしょを みつけたんだよね|
2|뭔데 뭔데? 말끝이 이상해지는 마법?|なになに ごびが へんな ふうに なる まほう|
3|다들 똑같이 되는 거야?|みんな おなじに なるのか|
4|몰라.|わかんない|
5|재밌잖아요. 좀 해봐요.|おもしろいじゃ ないですか ちょっと やってみましょうよ|
6|말해보고 제일 먼저 웃은 사람이 지는 걸로. 그 말끝을 일주일 계속하는 건 어때요?|しゃべってみて さいしょに わらった ひとが まけ その ごびを いっしゅうかん つづけると いうのは どうですか|
7|좋지. 바라던 바다.|いいじゃ ないか のぞむ ところだ|
8|자, 어떻게 될지 기대되냥.|さあ どうなるのか たのしみだにゃん|
9|힘멜이 '냥'은 아무래도 부끄럽구먼.|ヒンメルにゃんは さすがに はずかしいぞい|
10|프리렌이야말로 만만찮은뽀.|ふりーれんこそ なかなかですぽ|
11|이거 큰일이군. 프리렌이랑 하이터는 그럭저럭 버티겠어.|こいつは やばい ふりーれんと ハイターは なんとか いける|
12|힘멜은 그렇다 쳐도, 하이터 건 좀 위험해.|ヒンメルは まだしも ハイターのは ちょっと あぶない|
13|지금으로선 내 것이 제일 강렬해. 뭐, 그렇다면 이길 수 있겠어.|いまの ところ わたしのが いちばん きょうれつ まあなら かてる|
14|세 사람 다, 오늘 저녁은 뭐가 좋다냐.|さんにんとも きょうの ばんめしは なにが いいんだっちゃ|
