# 형식: 種類|日本語|読み|韓国語|メモ   (E = 표현・문형, V = 단어)
# --- 표현 ---------------------------------------------------
E|一時期タイタンで製造してた|いちじき タイタンで せいぞうしてた|한때 타이탄에서 제조했던|一時期=한때, 〜てた=〜ていた
E|意味ないところにコストかけすぎてる|いみない ところに コストかけすぎてる|의미 없는 데에 비용을 너무 들이고 있다|〜すぎる=너무 ~하다
E|昔使われてた車掌さん型ロボットで|むかし つかわれてた しゃしょうさんがた ロボットで|옛날에 쓰였던 차장 로봇인데|〜てた=〜ていた(과거 상태)
E|使われなくなったらしいんだよね|つかわれなく なったらしいんだよね|안 쓰이게 됐다더라|〜くなる=~하게 되다, 〜らしい=~라는 것 같다(전문)
E|さすがにもう動いてないだろ|さすがに もう うごいてないだろ|아무리 그래도 이제 안 움직이겠지|さすがに=아무리 그래도
E|必ずついてきてたんだけど|かならず ついてきてたんだけど|반드시 붙어 있었는데|〜てきてた=계속 ~해 왔었다
E|殺し合いを始めるっていう|ころしあいを はじめるっていう|서로 죽이기 시작한다는|〜っていう=~라는(전문 인용)
E|異常事態が頻繁に起きるようになった|いじょうじたいが ひんぱんに おきるようになった|이상 사태가 자주 일어나게 됐다|〜ようになる=~하게 되다(변화)
E|使い物にならないかもね|つかいものに ならないかもね|못 쓰게 될지도 몰라|〜ものにならない=쓸모없게 되다
E|安全に走らせるの難しいかもしんない|あんぜんに はしらせるの むずかしいかもしんない|안전하게 달리게 하는 게 어려울지도 몰라|〜せる=사역형, かもしんない=かもしれない(구어)
E|発進しちゃったこととかあったらしいよ|はっしんしちゃった こととか あったらしいよ|출발해 버린 적도 있었대|〜たことがある=~한 적이 있다
# --- 단어 ---------------------------------------------------
V|担当|たんとう|담당|
V|脱出ポッド|だっしゅつポッド|탈출 포드|
V|精密機械|せいみつきかい|정밀 기계|
V|児童労働|じどうろうどう|아동노동|
V|汎用型|はんようがた|범용형|
V|防衛システム|ぼうえいシステム|방어 시스템|
V|人工知能|じんこうちのう|인공지능|
V|車掌|しゃしょう|차장|
V|都市伝説|としでんせつ|도시전설|
V|更生プログラム|こうせいプログラム|갱생 프로그램|
V|異常事態|いじょうじたい|이상 사태|
V|メインコンピュータ|メインコンピュータ|메인 컴퓨터|
V|安全確認|あんぜんかくにん|안전 확인|
V|発車|はっしゃ|발차|
