# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|그럼 각 조가 담당할 차량 말씀드릴게요~|じゃあ かくはん たんとうする しゃりょう いってきまーす|
2|커트랑 맥스는 3호차랑 4호차|カートと マックスは さんりょうめと よんりょうめ|
3|카나타랑 아카네는 5호차, 6호차|カナタと アカネちゃんは ごりょうめ ろくりょうめ|
4|그리고 거기 갸루 두 명은 7호차랑 맨 뒤 차량이야|そんで そこの ギャルふたりは ななりょうめと いちばん うしろの しゃりょうね|
5|맨 앞 두 량은 탈출 포드라든가 정밀 기계가 실려 있어서|いちばん まえの にりょうは だっしゅつポッドとか せいみつきかい つんでるんで|
6|나중에 따로 처리할게요~|また あとで べつで たいおうしまーす|
7|뭐야? 이제 작업 들어가도 돼|なに もう さぎょう はいっていいよ|
8|아 완전 귀찮아|あー ちょーめんどくせぇ|
9|초등학교 때 이런 거 했었잖아|しょうがっこうの とき やったよね こういうの|
10|아 했었지|あー やった|
11|야 너희들 어디 가는 거야|おい おまえら どこいくんだ|
12|응가하러요~|うんこでーす|
13|쉬하러요~|おしっこでーす|
14|그거 지금 생각하면 완전 아동노동이잖아|あれって いま かんがえたら ふつうに じどうろうどうだよね|
15|자~ 해 볼까요~|じゃー やりますかー|
16|아, 일단 제일 안쪽부터인가|あぁ とりあえず いちばん おくのほうか|
17|진짜냐! 크로노스 CP잖아!|マジか クロノスシーピーじゃん|
18|헐 이런 데 쓰이고 있는 거야!? 어라?|うっそ ここに つかわれてんの あれ|
19|뭐야, 혼자 왜 이렇게 흥분한 거야?|なに ひとりで もりあがってんの|
20|아니 이거 한때 타이탄에서 제조했던|いや これ いちじき タイタンで せいぞうしてた|
21|범용형 컨트롤 패널인데|はんようがたの コントロールパネルなんだけど|
22|뭔가 기본으로 장착된 방어 시스템이 완전 멍청해서|なんか デフォルトで そうびされてる ぼうえいシステムが むっちゃ ばかで|
23|결국 의미 없는 데다 비용을 너무 많이 들였다는 이유로|けっきょく いみない ところに コストかけすぎてるって りゆうで|
24|있잖아, 이쪽은?|ねーねー こっちはー|
25|어?|え|
26|아, 오텀이구나|あー オータムちゃんね|
27|오텀?|オータムちゃん|
28|옛날에 쓰였던 차장 로봇인데|なんか むかし つかわれてた しゃしょうさんがた ロボットで|
29|일단 인공지능이라 대화도 할 수 있다는 것 같은데|いちおう じんこうちのうで おしゃべりとか できるらしいんだけど|
30|근데 그것도 전혀 인기가 없어서|なんか それも ぜんぜん にんきなくて|
31|안 쓰이게 됐다더라|つかわれなく なったらしいんだよね|
32|오~|へー|
33|아아, 이거 말하는 거야?|あーあー これ しゃべんの|
34|아니 아무리 그래도 이제 안 움직이겠지|いや さすがに もう うごいてないだろ|
35|안녕하세요 안녕하세요|こんにちは こんにちは|
36|말한다~|しゃべってー|
37|야 치, 여기 봐봐|ほら チィ ここみてみ|
38|뭔데?|なに|
39|봐 이 마크|ほら この マーク|
40|응? 뭔데|ん なに|
41|로봇이 되는 거야?|ロボットに なんの|
42|맞아|そう|
43|이 기능이 이 기계 탑재한 차량엔 꼭 붙어 있었는데|この きのうが この マシン とうさいしてる のりものに かならず ついてきてたんだけど|
44|일단 애초에|まず そもそも|
45|이번에|このたびは|
46|으어어어----!!!|おうぁーーー|
47|꺄악----!!!|やぁーーー|
48|AM24를 이용해 주셔서 감사합니다|エーエムにじゅうよんを ごりよういただき ありがとうございます|
49|깜짝 놀랐잖아!|びっくりした|
50|놀랐네|びびったぁ|
51|아직 움직이잖아 마키나!|まだ うごいてんじゃん まきな|
52|미안 미안 미안, 나도 놀랐어|ごめんごめんごめん あーしも びっくりした|
