# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|자, 자, 잠깐만, 미안|ちょちょ ちょちょっと ごめん|
2|얘기를 하나도 못 따라가겠는데|ぜんぜん はなしに ついていけてないんだけど|
3|이거 지난 3일 동안 일어난 사건 얘기하는 거지?|これって この みっかの あいだに おきた じけんの ないようの こと はなしてるんだよね|
4|맞아, 아까부터 계속 그 얘기 설명하고 있잖아|そーだよ さっきから ずっと その こと せつめいしてるんじゃん|
5|미안, 알았어, 미안 미안|ごめーん わかった ごめん ごめん|
6|무슨 얘기 하는 줄 알았던 거야?|なんの はなしてると おもってんの|
7|그러게 말이야|そうだよね|
8|다시 한번 확인하는 건데, 그 얘기가|あらためて かくにんなんだけど その はなしが|
9|마키나가 이렇게 된 이유랑 이어지는 거지?|まきなちゃんが こうなっちゃった りゆうに つながるんだよね|
10|…응|…うん|
11|한 번 더 처음부터 설명해 줄래?|もういっかい さいしょから せつめいして くんない|
12|에----|えーーーーーー|
13|야 마키나, 우리 완전 여기 안 어울리지 않아?|ねぇ まきなー うちら かんぜんに ばちがいじゃない|
14|너무 빤히 쳐다보지 않는 게 좋아|あんまり じろじろ みない ほうが いいぞ|
15|저기 봐봐, 안쪽에 두 명 완전 무서운 얼굴 하고 있잖아|ほら みてみ おくの ふたりとか めっちゃ こわい かおしてるじゃん|
16|그러니까 눈 마주치지 말라니까|だから あんまり かおあわせんなって|
17|우리로선 상상도 못 할 험한 세상에서 살아온 사람들이니까|あーしらじゃ そうぞうできないような しゅらばで いきてきてる ひとたちなんだから|
18|아 진짜 무서워~|やーもー こわい|
19|눈만 마주쳐도 진짜 무슨 일 날 수도 있겠지|めぇ あわせただけで わんちゃん ありえるべ|
20|우리 죽는 거 아니겠지|ころされたり しないかな|
21|힉|ひっ|
22|오|おう|
23|자, 오래 기다리게 해서 죄송해요|はいー おまたせして ごめんなさい|
24|지금 여기 계신 분들, 이 근처 도로에서 체포되신 분들 맞죠?|いま ここにいるのって このへんの どうろで たいほされちゃった ひとたちですよね|
25|일단 이름이랑 단속된 이유를 부를 테니까|とりあえず なまえと ほどうされた りゆう いっていくんで|
26|맞으면 대답해 주세요|まちがいなければ へんじ おねがいします|
27|맥스 매캘리스터|マックス・マカリスター|
28|넵|あい|
29|커트 크레이머|カート・クレイマー|
30|네|はい|
31|두 분은 설탕 불법 소지?|ふたりは さとうの ふほうしょじ|
32|네~|あーい|
33|네~|でーす|
34|이와오카 나타|イワオカナタ|
35|넵!|ウィーっす|
36|다이도지 아카네|ダイドウジアカネ|
37|네|はい|
38|속도위반|スピードいはん|
39|네~|でーす|
40|쿠조 치하루|クジョウチハル|
41|네|はい|
42|쿠루스 마키나|クルスマキナ|
43|네|はい|
44|속도위반, 공무집행방해, 경찰 차량 폭파|スピードいはん こうむしっこうぼうがい けいさつしゃりょうばくは|
45|…네|…はい|
46|…네|…はい|
47|어, 방금 폭파라고 했어요?|え いま ばくはって いってました|
48|그렇게 들렸어|そう きこえた|
49|거짓말이지?|うそでしょ|
50|저건가, 사장님이랑 같은 부류의 사람들인가?|あれかな しゃちょうと おんなじ タイプの ひとたちなのかな|
51|이번 멤버, 어째 개성 강하네~|なんか こんかいの メンツ くせ つよいなー|
52|자 그럼 다들 앞에 나눠드린 프린트물 좀 봐 주세요|ほいじゃあ みんな てもとに くばってある プリントに めぇとおしてください|
53|이제부터 여러분이 참여하실 프로그램 내용이 적혀 있으니까|これから みなさんに さんかしてもらう プログラムの ないようが かいてあるんで|
