# 형식: 種類|日本語|読み|韓国語|メモ   (E = 표현・문형, V = 단어)
# --- 표현 ---------------------------------------------------
E|話についていけてない|はなしに ついていけてない|이야기를 따라가지 못하다|〜について行けない=~을 따라가지 못하다
E|説明してくんない？|せつめいして くんない|설명해 주지 않을래?|〜てくんない=〜てくれない(반말)의 축약
E|理由につながるんだよね|りゆうに つながるんだよね|이유랑 이어지는 거지|〜につながる=~로 이어지다
E|見ない方がいいぞ|みない ほうが いいぞ|보지 않는 게 좋아|〜ない方がいい=~하지 않는 게 좋다
E|生きてきてる人たちなんだから|いきてきてる ひとたちなんだから|살아온 사람들이니까|〜てきてる=계속 ~해 온(계속·경험)
E|ありえるべ|ありえるべ|그럴 수도 있어|〜べ=〜だろう(사투리 추측)
E|逮捕されちゃった人たち|たいほされちゃった ひとたち|체포되어 버린 사람들|〜されちゃう=수동+〜てしまう(안타까움)
E|間違いなければ|まちがいなければ|틀림없으면|〜なければ=~하지 않으면
E|わかんねぇよ|わかんねぇよ|모르겠다고|わからない의 거친 반말(わかんない→わかんねぇ)
E|通称ミルキーサブウェイ|つうしょう ミルキーサブウェイ|통칭 밀키 서브웨이|通称〜=통칭(별칭으로) ~
E|やってもらいます|やってもらいます|해 주시게 될 겁니다|〜てもらう=(남에게) ~해 받다
E|長いこと使われてる|ながいこと つかわれてる|오래 사용되고 있는|〜てる=〜ている(진행·상태)의 축약
# --- 단어 ---------------------------------------------------
V|逮捕|たいほ|체포|
V|補導|ほどう|보도(미성년 단속)|
V|不法所持|ふほうしょじ|불법 소지|
V|スピード違反|スピードいはん|속도위반|
V|公務執行妨害|こうむしっこうぼうがい|공무집행방해|
V|爆破|ばくは|폭파|
V|刑期|けいき|형기|
V|惑星連邦|わくせいれんぽう|행성연방|
V|刑事施設|けいじしせつ|형사시설|
V|完了|かんりょう|완료|
V|社会奉仕活動|しゃかいほうしかつどう|사회봉사활동|
V|清掃|せいそう|청소|
V|正式名称|せいしきめいしょう|정식 명칭|
V|運用|うんよう|운용|
V|修羅場|しゅらば|수라장·험한 세상|
