# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|1급 마법사 시험 합격을 맞아, 특전으로 원하는 마법을 내려주마.|いちきゅう まほうつかい しけん ごうかくを うけて とっけんとして すきな まほうを さずけてやる|
2|빨래 마법을 주세요.|おせんたくの まほうを ください|
3|빨래?|おせんたく|
4|네.|はい|
5|제정신이냐. 너, 어떤 마법이든 되는 거다.|しょうきか おまえ どんな まほうでもだぞ|
6|빨래 쪽이면 어떤 마법이 있나요?|おせんたくのですと どんな まほうが ありますか|
7|흰옷의 찌든 누런 얼룩을 빼는 마법.|しろい ふくの がんこな きばみを とる まほう|
8|좋네요. 저도 프리렌 님도 흰옷을 입으니까 이제 누런 얼룩 신경 안 써도 되겠어요. 또 있나요?|いいですね わたしも ふりーれんさまも しろい ふくをきているので これから きばみを きにしなくていい ほかには|
9|어떤 날씨나 기후에도 옷이 확실히 마르는 마법.|どんな てんきや きこうでも ふくが ちゃんと かわく まほう|
10|좋네요. 덜 마를 걱정도 없어지겠네요.|いいですね なまがわきの しんぱいも なくなります|
11|또 있나요?|ほかには|
12|쭈글쭈글한 옷을 반듯하게 펴서 깔끔하게 개는 마법.|しわしわの ふくを まっすぐにして きれいに たたむ まほう|
13|제리에 님, 혹시 숨기고 계신 거 아니에요? 다 도움은 되지만 빨래의 본질에 다가가는 건 아니잖아요. 있죠, 전설의 마법.|ゼーリエさま さては かくしていませんか どれも やくにたちますが おせんたくの ほんしつに せまるものでは ありません ありますよね でんせつの まほう|
14|옷의 얼룩을 깨끗하게 빼는 마법.|ふくの よごれを きれいさっぱり おとす まほう|
15|그걸로 할게요.|それにします|
16|다시 한번 묻는다, 제정신이냐, 너. 다른 것도 있는데, '초'가 붙는 공격 마법 같은 것도.|もういちど きくが しょうきか おまえ ほかにも ちょうがつく こうげきまほうとか あるのに|
17|옷 얼룩 빼는 마법이라. 시시하네. 네가 지금 특전으로 마법을 받는다면 뭐가 좋겠어?|ふくの よごれを きれいさっぱり おとす まほうか つまらんな おまえが いま とっけんで まほう もらえるとしたら なにがいい|
18|머리 손질을 간단히 할 수 있는 마법이요.|かみの ていれが かんたんに できる まほうです|
19|어리석은 질문이었군.|ぐもんだったな|
