# 형식: 種類|日本語|読み|韓国語|メモ   (E = 표현・문형, V = 단어)
# --- 표현 ---------------------------------------------------
E|好きな魔法を授けてやる|すきな まほうを さずけてやる|원하는 마법을 내려주마|〜てやる=(손아랫사람에게) ~해 주다
E|どんな魔法でもだぞ|どんな まほうでもだぞ|어떤 마법이든 되는 거다|〜でも=~든지
E|気にしなくていい|きにしなくていい|신경 안 써도 된다|〜なくていい=~하지 않아도 된다
E|生乾きの心配もなくなります|なまがわきの しんぱいも なくなります|덜 마를 걱정도 없어지겠네요|〜もなくなる=~도 없어지다
E|さては隠していませんか|さては かくしていませんか|혹시 숨기고 계신 거 아니에요?|さては=혹시·설마
E|役に立ちますが、お洗濯の本質に迫るものではありません|やくにたちますが おせんたくの ほんしつに せまるものでは ありません|도움은 되지만 빨래의 본질에 다가가는 건 아니다|〜ものではない=~인 것은 아니다
E|正気かお前|しょうきか おまえ|제정신이냐, 너|〜か=~냐(반말 의문)
E|もらえるとしたら何がいい|もらえるとしたら なにがいい|받는다면 뭐가 좋겠어|〜としたら=~라고 한다면
# --- 단어 ---------------------------------------------------
V|一級魔法使い|いっきゅう まほうつかい|1급 마법사|
V|特権|とっけん|특권|
V|頑固な黄ばみ|がんこな きばみ|찌든 누런 얼룩|
V|生乾き|なまがわき|덜 마름|
V|畳む|たたむ|(옷을) 개다|
V|伝説の魔法|でんせつの まほう|전설의 마법|
V|愚問|ぐもん|어리석은 질문|
