# 형식: 種類|日本語|読み|韓国語|メモ   (E = 표현・문형, V = 단어)
# --- 표현 ---------------------------------------------------
E|とにかくロボットアニメが好きで|とにかく ロボットアニメが すきで|아무튼 로봇 애니를 좋아해서|とにかく=아무튼·하여간
E|プログラム完成させちゃったの|プログラム かんせいさせちゃったの|프로그램을 완성해버렸어|〜させちゃう=사역+〜てしまう
E|普通採用されるわけないんだけど|ふつう さいようされるわけないんだけど|보통 채택될 리가 없는데|〜わけない=~일 리가 없다
E|チェックがガバガバだったんだって|チェックが がばがばだったんだって|검사가 엉망이었대|ガバガバ=엉성함(의태어), 〜んだって=~라더라
E|実行されることになっちゃって|じっこうされることに なっちゃって|실행되게 돼버려서|〜ことになる=~하게 되다
E|認定しちゃってるっぽいね|にんていしちゃってるっぽいね|인정해버리는 것 같네|〜っぽい=~인 것 같다
E|抜け出す方法はいくらでも知ってる|ぬけだす ほうほうは いくらでも しってる|빠져나갈 방법은 얼마든지 알고 있다|いくらでも=얼마든지
E|なんとかしないとヤバいと思うよ|なんとかしないと やばいと おもうよ|어떻게든 하지 않으면 위험할 것 같아|〜ないと=~하지 않으면
E|意識戻るまで待とう|いしき もどるまで まとう|의식 돌아올 때까지 기다리자|〜まで=~할 때까지
E|さすがにキツいな|さすがに きついな|아무래도 힘든데|さすがに=아무리 그래도
E|多分こう入れ替わるんだよ|たぶん こう いれかわるんだよ|아마 이렇게 뒤바뀔 거야|入れ替わる=서로 뒤바뀌다
E|流れでなんとかなるべ|ながれで なんとかなるべ|흐름대로 어떻게든 되겠지|なんとかなる=어떻게든 되다
# --- 단어 ---------------------------------------------------
V|操縦室|そうじゅうしつ|조종실|
V|巨大ロボット|きょだいロボット|거대 로봇|
V|人員削減|じんいんさくげん|인원 감축|
V|セキュリティロボ|セキュリティロボ|보안 로봇|
V|警備ロボ|けいびロボ|경비 로봇|
V|テーザー|テーザー|테이저건|
V|意識|いしき|의식|
V|作戦|さくせん|작전|
V|入れ替わる|いれかわる|뒤바뀌다|
