# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|그래서 조종실 비밀 기능이 결국 뭐야~?|ねぇー そうじゅうしつの ひみつの きのうって けっきょくなんなの|
2|아, 그거|あー それね|
3|그러니까, 설계한 사람이 아무튼 로봇 애니메이션을 좋아해서|だから せっけいしたひとが とにかく ロボットアニメが すきで|
4|컨트롤 패널 설계 단계에서 기체를 통째로 거대 로봇으로 변형시키는 프로그램을 완성해버렸어|コントロールパネルの せっけいの だんかいで きたいを まるごと きょだいロボットに へんけいさせる プログラム かんせいさせちゃったの|
5|거대 로봇?|きょだいロボット|
6|응, 완전 바보 같지?|そう めっちゃ あほだべ|
7|근데 그런 게 보통 채택될 리가 없는데|で そんなもん ふつう さいようされるわけないんだけど|
8|그 무렵 타이탄은 인원 감축한 탓에 제품화 단계 검사가 엉망이었대|そのころの タイタンって じんいんさくげんしてた せいで せいひんかの だんかいでの チェックが がばがばだったんだって|
9|그래서 그대로 그 계획이|そんで そのまま その けいかくが|
10|실행되게 돼버려서…|じっこうされることに なっちゃって|
11|또냐…|またかよ|
12|으악, 뭐야?|うお なんだ|
13|뭐, 카나타~!|なっ かなたー|
14|…그래서 아직도 그 거대 로봇으로 변신하는 기능이…|だから いまだに その きょだいロボに へんしんする きのうが|
15|아니 일단 그 얘기는 잠깐만|いや いったん そのはなし まってよ|
16|저거 뭐야?|あれなんなの|
17|저건 보안 로봇이네…|あれは セキュリティロボだね|
18|차내에 위험한 사람이 나타났을 때용|しゃないに やばいひとが あらわれたときようの|
19|근데 저거 들어오는 사람 전부 위험인물로 인정해버리는 것 같네|ただ あれ はいってくるひと ぜんいん やばいひと にんていしちゃってるっぽいね|
20|왜 모든 기계가 다 이상해진 거지…|なんで ぜんぶの きかい おかしくなってるんだろ|
21|이거, 카나타는 괜찮은 거야…|これ かなたは だいじょうぶか|
22|아마 내가 쓰는 테이저건이랑 비슷한 거라서 죽지는 않을 거…|たぶん あーしが つかってる テーザーと おなじような やつだから しぬことは ないとおも|
23|시끄럽네 저 곡|うるせえな あのきょく|
24|싫어!|いやっ|
25|카나타----!|かなたーーー|
26|위험했다~|あぶなかったー|
27|피하지 마라|よけんなよ|
28|좀 더 조용히 해 주실 수 있을까요?|もうちょい しずかにしてもらって いいですか|
29|어, 있었어?|え いたの|
30|우와, 전혀 몰랐어|うわ ぜんぜん きづかなかった|
31|그거 몇 시간 정도 놔두면 알아서 깨어나요|それ すうじかんくらい ほっときゃ かってに めさますよ|
32|그렇구나, 다행이다|そうなんだ よかった|
33|둘 다 계속 여기 있는 거야~|ふたりとも ずっと ここいるのー|
34|오|おお|
35|역시 저 경비 로봇 맛이 간 건가요?|やっぱ あの けいびロボ いかれてるんすか|
36|맛이 갔어|イカれてる|
37|맛이 갔어|イカれてる|
38|멈추는 방법 몰라?|とめかた わかんないの|
39|알아|わかるよ|
40|어, 왜 안 해요|え なんで やんないんすか|
41|귀찮으니까|めんどくせぇもん|
42|뭐?|は|
43|저기|ねぇ|
44|우리 전차 세우려고 선두 차량 가자|うちら でんしゃ とめるために せんとうしゃりょう いこう|
45|야, 잠깐 내 고기 가져가지 마! 지금 그쪽 라이프 여유 있잖아!|ねー ちょっと おれのにく とんないでよ いま そっち ライフ よゆうあんじゃん|
46|미안, 멍때리고 있었어|ごめん ぼーっとしてた|
47|미안 미안|ごめんごめん|
48|뭔데?|なに|
49|아니, 우리 전차 세우려면 선두 차량으로 가야 한다고 생각했었는데|いや うちら でんしゃ とめるために せんとうしゃりょう いかなきゃって おもってたんだけど|
50|혹시 이거 그렇게 서두르지 않아도 되는 건가?|もしかして これ そんなに あせらなくていい やつ|
51|아니 너희는 서두르는 게 좋지 않아?|いや きみらは あせったほうが いいんじゃない|
52|어?|え|
53|우리는 이 열차에서 빠져나갈 방법을 얼마든지 알고 있어서 안 서두르는 것뿐이고|おれらは この れっしゃから ぬけだす ほうほうは いくらでも しってるから あせってないだけで|
54|너희는 저 로봇 어떻게 좀 안 하면 위험할 것 같은데?|おまえらは あの ロボット なんとかしないと やばいとおもうよ|
55|모르겠지만|しらんけど|
56|도와준다든가…|てつだってくれたり|
57|그러니까!|だから|
58|미안!|ごめん|
59|나 진짜 죽는다고!?|おれ さすがに しぬよ!?|
60|미안하다니까|ごめんて|
61|아까도 당신 공격에 죽을 뻔했거든요!|さっきだって あなたの こうげきに ころされかけたんですけど|
62|진짜 조심할게|まじで きをつける|
63|일단 카나타 의식 돌아올 때까지 기다리자|とりあえず かなたくんの いしき もどるまで まとう|
64|응|うん|
65|음----|んーーー|
66|안 끝나네 이거|おわんねぇ これ|
67|잠깐! 이제 무리! 치하루 이제 무리!|まって もうむり ちはる もうむり|
68|이건 아무래도 힘든데…|これは さすがに きついな|
69|어떻게든 해보자|どうにかしよう|
