# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|흠, 이럴까. 아니면 이럴까.|はぁ こうかな それとも こうか|
2|응.|うん|
3|늘 그렇지만 전혀 안 정해지네.|まいどの ことながら ぜんぜん きまらないね|
4|포즈 잡기 시작한 지 벌써 두 시간 지났다.|ポーズ つくりはじめて もう にじかん たつぞ|
5|이번 장인은 얼마나 버틸 수 있을지.|こんかいの しょくにんさんが どれだけ たえられるか|
6|그러고 보니 하이터는 힘멜이랑 소꿉친구지.|そういえば ハイターって ヒンメルと おさななじみなんだよね|
7|응.|うん|
8|어릴 때도 이런 느낌이었어?|こどもの ときも こんな かんじだったの|
9|글쎄요. 정말 어릴 땐 이렇지 않았던 것 같은데.|そうですね ほんとうに ちいさな ときは こうじゃ なかったような|
10|뭔가를 계기로 스위치가 켜진 건가.|なにかを さかいに スイッチが はいった わけか|
11|저기, 동심으로 돌아가는 마법이 있는데 걸어볼까. 아직 이런 짓 안 하던 어린 시절 마음이 되면 금방 끝날지도.|あのさ どうしんに かえる まほうが あるんだけど かけてみようか まだ こんなこと してない こどもの ころの きもちに なれば すぐ おわるかも|
12|과연. 그거 좋네요.|なるほど それは いいですね|
13|그럼 동심이라고 해도 갓난아기 정도까지 하면 확실하지 않을까.|なら どうしんと いっても あかんぼうくらいまで やると かくじつじゃないか|
14|알았어.|わかった|
15|아, 바부.|あー ばぶ|
16|안 변하잖아.|かわんないじゃん|
17|죄송해요. 기억이 잘못됐네요. 태어나기 전부터 스위치가 켜져 있었나 보네.|ごめんなさい きおくちがいでした うまれる まえから スイッチが はいってたんだろうな|
