# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|프리렌 님, 이 마법 저한테는 정말 고마운 마법이에요.|ふりーれんさま この まほう わたしには すごく ありがたいです|
2|왜? 페른은 아침에 잘 일어나잖아.|どうして フェルンは あさ つよいと おもうけど|
3|저한테 거는 게 아니에요. 프리렌 님한테 걸 거예요.|わたしにじゃ ありません ふりーれんさまに かけるんです|
4|어, 좀 푹 자게 해줘.|え ゆっくり ねさせてよ|
5|프리렌 님은 푹 자는 정도가 아니라, 하루 종일 자는 거 아닌가 싶을 정도예요.|ふりーれんさまは ゆっくりどころじゃなくて まあ いちにちじゅう ねてるんじゃないかと おもうくらいです|
6|당장 걸어보죠.|さっそく かけてみましょう|
7|일단 아침 6시로.|とりあえず あさ ろくじで|
8|싫어.|いやだ|
9|대단해, 이렇게 이른 아침에 일어나 있어.|すごい こんな あさはやくに おきてる|
10|안녕히 주무셨어요, 프리렌 님.|おはようございます ふりーれんさま|
11|잘 잤니, 페른.|おはよう フェルン|
12|네, 그럼 아침 먹을까요.|はい じゃあ あさごはんに しましょうか|
13|프리렌 님, 일어나세요.|ふりーれんさま おきてください|
14|다시 잠들지 못하게 하는 마법은 없을까.|にどね できなくなる まほう ないかな|
