# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|뭐가 이렇게 덥냐.|なんて あついんだ|
2|이 지역 여름은 유난히 덥네요.|この ちいきの なつは とくべつ あついんですね|
3|그러고 보니 힘멜 일행이랑 여행할 때도 이 근처는 더웠던가.|そういえば ヒンメルたちと たびした ときも この へんは あつかったっけ|
4|해가 질 때까지 그늘에서 쉴까.|ひが おちるまで ひかげで やすむか|
5|근데 식량이 이제 없으니까 오늘 안에 마을에는 가야 해.|でも しょくりょうは もう ないから きょうじゅうに まちには いかないと|
6|맞다. 몸 주위를 시원하게 하는 마법이 있었어.|そうだ からだの まわりを すずしくする まほうが あった|
7|진짜야?|ほんとうか|
8|몸 주위라면 어느 정도 범위인가요?|からだの まわりをって どのくらいの はんいなんでしょうか|
9|아마 아주 작은 범위야.|たしか ごく ちいさな はんいだよ|
10|별로 써본 적이 없어서 잘 기억이 안 나네.|あんまり つかった こと ないから よく おぼえてないんだよね|
11|아무튼 걸어줘. 이 더위를 견딜 수 있다면 뭐든 좋아.|とにかく かけてくれよ この あつさを しのげるなら なんでも いいや|
12|알았어.|わかった|
13|프리렌 님, 엄청 시원해요. 감동이에요.|ふりーれんさま すごく すずしいです かんどうです|
14|진짜네. 쾌적해. 천국이다.|ほんとうだ かいてきだ てんごくだぜ|
15|프리렌 님,|ふりーれんさま|
16|좀 추워지기 시작했어요.|ちょっと さむく なってきました|
17|확실히. 프리렌, 자, 잠깐 조절 좀 해줘.|たしかに ふりーれん ちょ ちょうせつしてくれ|
18|그게 안 되네.|できないんだよね|
19|네?|え|
20|기억났다. 조절이 안 되는 거야. 그래서 별로 안 썼던 거였어.|おもいだした ちょうせつ できないんだよ だから あんまり つかってなかったんだった|
21|프리렌 님, 얼어 죽겠어요. 마법을 풀어 주세요.|ふりーれんさま こごえそうです まほうを かいじょしてください|
22|그래야지. 음, 어떻게 하는 거였더라?|そうだね えっと どうやるんだっけ|
23|아니, 쓰는 게 오랜만이라서.|いや つかうの ひさしぶりだからさ|
24|에?|ええ|
25|쟤네들 왜 저렇게 두껍게 입었지?|あいつら なんで あんな あつぎに|
26|체온 조절을 어떻게 하는 걸까.|どういう たいおんちょうせつ してるのかしら|
