# 형식: 種類|日本語|読み|韓国語|メモ   (E = 표현・문형, V = 단어)
# --- 표현 ---------------------------------------------------
E|なでなさせてもらってもいいですか|なでなさせてもらってもいいですか|쓰다듬게 해주실래요?|〜させてもらう=(허락 받아) ~하다
E|お礼はもうおしまいです|おれいは もう おしまいです|답례는 이제 끝났어요|もう〜おしまい=이제 ~끝
E|よくわからない人ですね|よくわからない ひとですね|참 알 수 없는 사람이네요|よくわからない=잘 모르겠다
E|本当のところ何を考えているかわからない|ほんとうのところ なにを かんがえているか わからない|정말로 무슨 생각을 하는지 모르겠다|〜か わからない=~인지 모르겠다
E|言ってしまう魔法を使ってみようか|いってしまう まほうを つかってみようか|말해버리는 마법을 써볼까|〜てしまう=~해 버리다
E|抑えきれない|おさえきれない|억누를 수가 없다|〜きれない=다 ~할 수 없다
E|急ぐけど前を歩いてね|いそぐけど まえを あるいてね|서두르는 건 좋은데 앞장서서 걸어|〜けど=~는데(역접)
# --- 단어 ---------------------------------------------------
V|魔族|まぞく|마족|
V|魔導書|まどうしょ|마도서|
V|手練れ|てだれ|실력자·수완가|
V|冷静|れいせい|냉정함|
V|残酷|ざんこく|잔인함|
V|衝動|しょうどう|충동|
V|好戦的|こうせんてき|호전적|
