# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|마족도 쓰러뜨렸으니, 슈타르크 일행한테 돌아갈까.|まぞくも たおしたし シュタルクたちの ところに もどろうか|
2|그래요. 그런데 프리렌 씨, 또 머리 쓰다듬게 해주실래요?|そうですね ちなみに ふりーれんさん また あたまを なでなさせて もらってもいいですか|
3|안 돼요. 마도서 받은 답례는 이제 끝났어요.|だめです まどうしょを もらった おれいは もう おしまいです|
4|어머, 아쉽네.|あら ざんねん|
5|메토데 님은 참 알 수 없는 사람이네요.|メトーデさまって よくわからない ひとですね|
6|그러게. 하늘에서 마족과의 싸움도 지켜봤는데, 상당한 실력자야. 냉정한 면도 있고 귀여운 걸 좋아한다고도 하고, 정말로 무슨 생각을 하는지 모르겠어.|そうだね そらから まぞくとの たたかいも みていたけれど そうとうな てだれだ れいせいな ところも あれば かわいいものずきだと いうし ほんとうのところ なにを かんがえているか わからない|
7|맞다, 생각하는 걸 말해버리는 마법을 써볼까.|そうだ かんがえていることを いってしまう まほうを つかってみようか|
8|그런 마법이 있어요? 무서운 마법이네요. 그래도 해봐요.|そんな まほうが あるんですか おそろしい まほうですね でも やってみましょう|
9|엄청 잔인한 생각을 하고 있을지도. 아, 아까 그 충동을 억누를 수가 없어.|ものすごく ざんこくなことを かんがえていたりして あ さっきの しょうどうが おさえきれない|
10|아까 싸움을 떠올리는 걸까? 본성은 호전적이고, 프리렌 씨를 더더욱 꽉 안고 싶어.|さっきの たたかいを おもいだしてるのかな ほんしょうは こうせんてきで もっともっと ふりーれんさんを ぎゅっとしたい|
11|페른 씨도 쓰다듬고 싶어.|フェルンさんも なでなでしたい|
12|서두르죠.|いそぎましょう|
13|서두르는 건 좋은데 앞장서서 걸어.|いそぐけど まえを あるいてね|
14|왜요?|なんでですか|
