# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|이 마법은 발음이 안 좋거나 말주변이 없는 사람은 기쁠지도 모르겠네요.|この まほうは かつぜつが わるかったり くちべたな ひとは うれしいかも しれませんね|
2|말주변이 없는 거랑은 좀 다를지도 모르지만, 아이젠한테 걸어볼까.|くちべたとは ちょっと ちがうかも しれないけど アイゼンに かけてみようか|
3|괜찮아? 아이젠.|いい アイゼン|
4|딱히 상관없다.|べつに いいぞ|
5|아이젠, 기분은 어떠세요?|アイゼン きぶんは どうですか|
6|평범하다.|ふつうだ|
7|아까 먹은 스튜는 어땠어?|さっき たべた シチューは どうだった|
8|맛있었다.|うまかった|
9|좀 빨라진 것 같긴 한데, 원래 말수가 너무 적으니까요.|ちょっと はやく なってる きは しますが もとの くちかずが すくなすぎますしね|
10|아이젠, 지난번 숲에서 싸웠을 때를 돌이켜서 말해봐.|アイゼン こないだ もりで たたかった ときの ことを ふりかえってみてよ|
11|우선 나와 힘멜이 앞장서서 적의 품으로 뛰어드는 건 늘 하던 대로라 치고,|まず おれと ヒンメルが せんこうして てきの ふところに とびこむのは いつもどおりとして|
12|지난번 마물은 애초에 피부가 정말 단단했다.|こないだの まものは そもそも ひふが ほんとうに かたかった|
13|뛰어들어봐야 피해를 못 주면 그저 자신을 위기로 몰 뿐이었다.|とびこんだ ところで ダメージが あたえられないんじゃ たんに じぶんを ピンチに おいこむだけだった|
14|프리렌이 마법으로 견제하면서,|ふりーれんが まほうで けんせいしながら|
15|단단한 피부 부분이 아니라 팔꿈치나 무릎을 노린다.|かたい ひふの ぶぶんじゃなく ひじや ひざを ねらう|
16|어쩐지 동작도 잘아졌어. 뭔가 무서워.|なぜか うごきも こまかく なってる なんか こわい|
17|역시 말투는 사람마다 제각각인 게 좋네요.|やっぱり しゃべりかたは ひとそれぞれの ほうが いいですね|
