# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|뭐, 슈타르크 군을 동료로 삼는 건 포기할까.|まあ シュタルクくんを なかまに するのは あきらめるか|
2|미안하군, 비아벨.|わるいな ヴィアベル|
3|그나저나.|ちなみにさ|
4|응.|うん|
5|비아벨의 솔가니르는 무슨 수를 써도 못 빠져나가?|ヴィアベルの ソルガニールって どんなこと しても にげられないの|
6|그래, 시험해 볼까.|ああ ためしてみるか|
7|진짜네. 몸도 안 움직이고, 마력도 조작이 안 돼.|ほんとうだ からだも うごかないし まりょくも そうさ できないよ|
8|분명 시야에 전신이 들어오면 뭐든지, 였죠.|たしか しかいに ぜんしんが はいれば なんでも でしたよね|
9|그래, 마왕 같은 상대한테는 물론 해본 적 없지만.|ああ まおうとかには もちろん やったこと ねえけどな|
10|그럼 새도 잡아봐 줘.|じゃあ とりも つかまえてみてくれよ|
11|저런 데에 엄청난 기세의 사나운 소가.|あんな ところに すごい いきおいの もうぎゅうが|
12|아, 엄청 기세 좋게 튀어 오르는 물고기. 식량이 없을 때 사냥 같은 데 아주 편리하겠네요.|あ ものすごく いきおいが よくて とびはねる さかな しょくりょうが ない とき かりとかで すごく べんりですね|
13|그러게. 한 집에 하나가 아니라, 한 파티에 한 명.|そうだね いっかにじゃ なくて ひとパーティーに ひとり|
14|야, 우리 파티에 들어오지 않을래.|なあ おれたちの パーティーに はいらないか|
15|사양할게.|えんりょ しとくぜ|
