# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|변호사한테서 연락 왔어?|べんごしから れんらく きた|
2|응, 일단 평소처럼 쓸데없는 말만 안 하면 바로 나갈 수 있대|うん とりあえず いつもみたいに よけいなこと しゃべらなければ すぐ でられるって|
3|오케이|おっけ|
4|얘네는 왜 치타 복장을…|こいつらって なんで チーターの かっこ|
5|안녕, 나는 포피야|やぁ ぼくは ポッピー|
6|너희랑 수다 떨러 왔어!|きみたちと おしゃべりを しにきたんだ|
7|여기서 하는 얘기는 절대 다른 데서 말 안 할 테니까|ここでの おしゃべりは ぜったいに ほかでは しゃべらないから|
8|나를 믿고 뭐든지 말해도 돼!|ぼくのことは しんようして なんでも はなしてくれていいよ|
9|혹시 정 휴식이 필요하다고 생각되면, 왼쪽 문에 있는…|もし どうしても きゅうけいが ひつようだと おもったら ひだりの とびらにある|
10|미안, 진지하게 할게|ごめん まじめに やるわ|
11|어, 커트 씨랑 맥스 씨죠|えっと カートくんと マックスくんね|
12|두 분 직업을 아직 잘 모르겠는데, 이 방위 서비스라는 게 그거예요?|ふたりの しょくぎょうが まだ ちょっと よくわかんないんだけど この ぼうえいサービスって あれ?|
13|납치부터 인명 구조까지 뭐든지 다 한다는 그런 거요|ゆうかいから じんめいきゅうじょまで なんでもやります みたいな|
14|네 맞아요|そう それっす|
15|뭐 요컨대 해결사예요|まぁ ようは べんりやです|
16|언니도 죽이고 싶은 상사 같은 거 있죠?|おあねさんも ころしてほしい じょうしとか いるでしょ|
17|요금만 내면 흔적도 안 남고…|りょうきんさえ はらえば あしがつかない|
18|미안한데 내가 사는 지역은 살인이 불법이야|ごめん あたしが すんでる エリア さつじんとか いほうなんだ|
19|두 사람 다 지금 일 하기 전엔 꽤 평범한 일을 했었네요, 청소업이라든가 요식업이라든가|ふたりとも いまの しごと つくまえは わりと ふつうの しごとしてたんだね せいそうぎょうとか いんしょくとか|
20|뭐, 네|まぁ はい|
21|그건 왜 그만둔 거야?|それは なんで やめちゃったの|
22|…묵비하겠습니다|もくひします|
23|…묵비하겠습니다|もくひします|
24|아 그래|あっそ|
25|그래서 이번엔 설탕을 밀수하다가 잡힌 느낌인가?|で こんかいは さとうを みつゆしてて つかまった かんじかな|
26|밀수라고 해봐야 저희는 운반만 했을 뿐이고|みつゆっつっても おれら うんぱんしてただけで|
27|짐 내용물은 못 들었어요|にもつの なかみは きかされてなかったっす|
28|아 저기|あーの|
29|그런 식으로 발뺌해온 건 알겠는데 말이야|そうやって いいのがれしてきたのは わかったけどさ|
30|설탕 때문에 불행해진 사람이 많다고?|さとうのせいで ふこうになった ひとって いっぱいいるのよ|
31|시시하네|しょーもな|
32|남이야 어떻든 상관없는걸|たにんとか どうでもいいもん|
33|아니…|いや|
34|어?|え|
35|방금 그건|いまのって|
36|미안, 나 잠깐 연료 보급 좀 해도 돼?|ごめん わたし ちょっと ねんりょうほきゅう していい|
37|아, 좋겠다~ 우리가 먹을 만한 건 뭐 없어?|あ いーなー おれらが くえるやつ なにか ないの|
38|어? 흡입식 캐러멜이라면 있는데?|えー きゅういんしきの キャラメルなら あるけど|
39|아, 좋잖아요~|あー よいじゃないっすかー|
40|무슨 맛이 좋아?|なにあじが よい|
41|딸기|イチゴ|
42|아----|あーーーー|
43|완전 맛있어|ちょう うまい|
44|어, 뭔가 안 빠지는데|あれ なんか とれねぇ|
45|안 빠져…|はずれない|
46|너희 의외로 조심성이 없구나|あなたたち いがいと ようじんぶかくないんだね|
47|그거 저희 수사부가 만든 장치를 심어놨는데|それ うちの そうさぶが つくった デバイス しくませてもらったんだけど|
48|뭐, 뭐, 뭐야, 무서워 무서워 무서워|なになになに こわいこわいこわい|
49|뭐야 그거, 장난치지 마|なんだそれ ふざけんな|
50|사이보그를 상대로 작동하는 건데, 뭔가 거짓말을 못 하게 되나 봐|サイボーグあいてに きのうするやつで なんか うそつけなくなるらしいんだ|
51|하----|はーーー|
52|아니 아니, 비겁해 비겁해 비겁해|イヤイヤ せこいせこいせこい|
53|네, 작동했어요~|はい きどうしましたー|
54|절대 쓸데없는 말 하면 안 돼|ぜったい よけいなこと しゃべっちゃだめだよ|
55|사장님한테 죽는다고!|しゃちょうに ころされちゃうから|
56|괜찮아, 절대 말 안 해|だいじょうぶだ ぜったい しゃべんねぇ|
57|그 사장님이라는 게 남자예요? 여자예요?|その しゃちょうって おとこのひと おんなのひと|
58|여자|おんな|
59|여자|おんな|
60|아----|あーーーー|
61|아----|あーーーー|
62|오, 술술 잘도 말해주네|おー しっかり しゃべってくれるね|
63|위험해! 이거 저항이 안 돼!|やばい これ ていこうできない|
64|어쩔 수 없다, 이 취조 멈춰!|しょうがねぇ この とりしらべ とめろ|
65|마약 조직과의 연결점은 있어?|まやくそしきとの つながりは ある|
66|없어요|ないっす|
67|없어요|ないっす|
68|서둘러 서둘러 서둘러|いそげいそげいそげ|
69|위험해~|やばーい|
70|그런 건가|あれなのかな|
71|기본적으로는 법률을 위반하지 않는 범위에서 활동하는 걸 철저히 지키는 건가|きほんてきには ほうりつに いはんしない はんいで かつどうすることを ていていしてるのかな|
72|법인세는 제대로 내고 있는 거지?|ほうじんぜいは ちゃんと はらってるもんね|
73|내고 있어요|はらってます|
74|내고 있어요|はらってます|
75|역시 그렇지~|やっぱねー|
76|…어, 이거 지금 뭐 하는 거야?|あれ これ いま なにやってる|
77|해킹하고 있어요|ハッキングしてます|
78|해킹하고 있어요|ハッキングしてます|
79|뭐?|は|
80|빨리해!|はやくしろ|
81|어, 잠깐 마음대로 하지 마|え ちょっと かってなこと しないでよ|
82|됐다!|きた|
83|지금 당장 그만해!|いますぐ やめて|
84|어, 잠깐 잠깐 잠깐!|え ちょっとちょっとちょっと|
85|기다려!|まって|
86|마지막으로 두 사람이 평범한 일 그만둔 이유만 알려줬으면 하는데!?|さいご ふたりが ふつうの しごと やめた りゆうだけ おしえてほしいんだけど!?|
87|아무도 고마워해주지 않아서예요|だれにも かんしゃされないからです|
88|아무도 고마워해주지 않아서예요|だれにも かんしゃされないからです|
89|어?|え|
90|아무도 고맙다는 말을 안 해주니까요|だれも ありがとうとか いってくれないからです|
91|기계 취급 받는 게 싫어져서 그만뒀어요|きかいあつかい されるのが いやになって やめました|
92|혹시 남한테 무관심한 것도 그게 원인이야?|もしかして たにんにたいして むかんしんなのも それが げんいん|
93|그래요|です|
94|그래요|です|
95|그럼 혹시 두 사람이… 아, 위험해|じゃあ もし ふたりが あっぶね|
96|위험했다~|あぶなかったなー|
97|저 여자 못 믿겠다|あの おんな しんようできないぞ|
98|들려~?|きこえるー|
99|들려요~|きこえまーす|
100|들려요~|きこえまーす|
101|젠장, 나간다|くそ でるぞ|
