# 형식: 種類|日本語|読み|韓国語|メモ   (E = 표현・문형, V = 단어)
# --- 표현 ---------------------------------------------------
E|余計なこと喋らなければすぐ出られる|よけいなこと しゃべらなければ すぐ でられる|쓸데없는 말만 안 하면 바로 나갈 수 있다|〜なければ=~하지 않으면
E|絶対に他ではしゃべらないから|ぜったいに ほかでは しゃべらないから|절대 다른 데서는 말 안 할 테니까|絶対に=절대로
E|なんでも話してくれていいよ|なんでも はなしてくれていいよ|뭐든지 말해도 돼|〜てくれていい=~해줘도 좋다
E|職業がまだちょっとよくわかんないんだけど|しょくぎょうが まだ ちょっと よくわかんないんだけど|직업을 아직 잘 모르겠는데|よくわからない=잘 모르다
E|そうやって言い逃れしてきたのは解ったけどさ|そうやって いいのがれしてきたのは わかったけどさ|그렇게 발뺌해온 건 알겠는데 말이야|言い逃れる=발뺌하다
E|それはなんで辞めちゃったの？|それは なんで やめちゃったの|그건 왜 그만둔 거야?|〜ちゃう=~해 버리다(구어)
E|砂糖のせいで不幸になった人っていっぱいいる|さとうのせいで ふこうになった ひとって いっぱいいる|설탕 때문에 불행해진 사람이 많다|〜のせいで=~탓에
E|他人にたいして無関心なのもそれが原因|たにんにたいして むかんしんなのも それが げんいん|남한테 무관심한 것도 그게 원인|〜にたいして=~에 대해서
E|ウソつけなくなるらしい|うそつけなく なるらしい|거짓말을 못 하게 되나 봐|〜なる=~하게 되다(변화)
E|絶対余計なこと喋っちゃだめだよ|ぜったい よけいなこと しゃべっちゃだめだよ|절대 쓸데없는 말 하면 안 돼|〜ちゃだめ=~하면 안 된다
E|法律に違反しない範囲で|ほうりつに いはんしない はんいで|법률을 위반하지 않는 범위에서|〜範囲で=~범위에서
E|機械扱いされるのが嫌になって|きかいあつかい されるのが いやになって|기계 취급 받는 게 싫어져서|〜扱いされる=~취급받다
# --- 단어 ---------------------------------------------------
V|弁護士|べんごし|변호사|
V|防衛サービス|ぼうえいサービス|방위 서비스|
V|便利屋|べんりや|해결사|
V|黙秘|もくひ|묵비|
V|密輸|みつゆ|밀수|
V|捜査部|そうさぶ|수사부|
V|デバイス|デバイス|장치|
V|取り調べ|とりしらべ|취조|
V|麻薬組織|まやくそしき|마약 조직|
V|法人税|ほうじんぜい|법인세|
V|ハッキング|ハッキング|해킹|
