# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|뭐지? 자신 있는 마법이 안 나와.|なんだ とくいの まほうが だせない|
2|상대의 특기를 못 쓰게 한다. 이건 싸움이 유리해지는 마법이네요.|あいての とくいわざを ださせない これは たたかいが ゆうりに なる まほうですね|
3|특기라는 건 가장 자신 있는 기술만이라는 건가.|とくいわざと いうのは いちばん とくいな わざだけと いうことか|
4|왠지 하나일 것 같아. 마력 소모 정도로 봐서.|なんとなく ひとつな きが するね まりょくの しょうひかげんからして|
5|나나 아이젠한테 걸면 어떻게 될까? 검이나 도끼를 쓰는 기술 전부일까?|ぼくや アイゼンに かけたら どうなるのかな けんや おのを つかう わざ ぜんぶなのか|
6|아니면 그중에서 가장 자신 있는 기술만일까?|それとも その なかで いちばん とくいな わざだけなのか|
7|그럼 힘멜한테 걸어서, 아이젠이랑 좀 겨뤄보죠.|じゃあ ヒンメルに かけて ちょっと アイゼンと てあわせして みましょうよ|
8|좋다.|いいぞ|
9|바라던 바다.|のぞむ ところだ|
10|그럼, 시작.|じゃあ はじめ|
11|힘멜이 당황하고 있어. 뭔가 뻣뻣하게 굳어 있고.|ヒンメルが とまどってる なんか ちょくりつで かたまってるし|
12|특기가 봉인된 거네요.|とくいわざが ふうじられているんですね|
13|이럴 수가. 안 돼. 미남 포즈를 취할 수가 없어.|なんてことだ できない イケメンポーズが できない|
14|우와.|うわ|
