# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|야, 왜 오늘도 내 가게에 오는 거야.|おい なんで きょうも おれの みせに くるんだ|
2|딱딱하게 굴지 마, 리히터.|かたい ことを いうな リヒター|
3|맞아, 리히터.|そうだよ リヒター|
4|게다가 라우펜은 왜 덴켄한테 붙어 다니는 거야. 완전 손녀잖아.|それに ラオフェンは なんで デンケンに くっついてくるんだ かんぜんに まごじゃねえか|
5|그런 거 아니야. 있잖아 리히터, 배고파.|そんなこと ないよ ねえ リヒター おなか すいた|
6|우리 집은 식당이 아니야. 아무것도 없어.|うちは りょうりやじゃ ない なんも ないぞ|
7|확실히 내일 아침에 먹을 빵밖에 없네.|たしかに あしたの あさ たべるようの パンしか ないね|
8|야, 너. 설마 우리 부엌에 갔다 온 거지.|おい おまえ さては うちの だいどころに いってきただろ|
9|의심하지 마 리히터.|かんぐるなよ リヒター|
10|아니, 거긴 의심할 데잖아.|いや そこは かんぐる ところだろ|
11|저기, 덴켄 씨.|ねえ デンケンさん|
12|라우펜, 도넛 가게에 갔다 왔지.|ラオフェン ドーナツやに いってきただろう|
13|덴켄, 완전 용돈 주는 할아버지잖아. 그리고 라우펜, 도넛 좋아하는구나.|デンケン かんぜんに おこづかいを あげる おじいちゃんじゃねえか それと ラオフェン ドーナツ すきだな|
14|안 줄 거야.|あげないよ|
15|필요 없어.|いらねえよ|
