# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|프리렌 님, 오늘도 반짝반짝해요.|ふりーれんさま きょうも ぴかぴかです|
2|역시 전설급 마법이네요.|さすが でんせつきゅうの まほうですね|
3|지난번 여관 주인아주머니도 감동했었지.|こないだの やどやの おかみさんも かんどうしてたもんな|
4|야, 그거 돈이 되지 않을까?|なあ それ かねに なるんじゃないか|
5|안 돼. 이 마도서만은 못 넘겨.|だめ この まどうしょだけは ゆずれないよ|
6|그게 아니라.|じゃなくてさ|
7|자, 가까이 오세요 구경하세요.|さあ よってらっしゃい みてらっしゃい|
8|이 지독해 보이는 기름때.|この しつこそうな あぶらよごれ|
9|이건 아무리 문질러도 안 지워진다고 생각하시는 당신.|これは いくら こすっても おちないなと おもってる あなた|
10|그럴 때야말로 이 사람! 대마법사 프리렌!|そんな ときこそ この ひと だいまほうつかい ふりーれん|
11|내가 일한다는 얘기구나.|わたしが はたらくって ことなんだね|
12|뭐 됐나.|まあ いいか|
13|어떻습니까 여러분. 그런 기름때가 순식간에 이렇게.|どうですか みなさん あんな あぶらよごれが いっしゅんで この とおり|
14|오늘은 특별히, 댁의 냄비 하나는 무료 서비스.|きょうは とくべつに おたくの なべ ひとつは むりょうサービス|
15|두 번째부터는 부디 두 닢에 반짝반짝하게.|ふたつめからは どうか にまいで ぴかぴかに|
16|이렇게나 기름때로 곤란해하는 사람들이 있구나.|こんなに あぶらよごれに こまっている ひとたちが いるのか|
17|대부분 냄비 하나씩만 들고 왔네요.|ほとんどの ひとが おなべ ひとつしか もってきてませんね|
18|그냥 봉사활동이 됐네, 이거.|たんなる ボランティアに なったな これ|
19|언제 끝나는 거야.|いつ おわるんだ|
20|페른, 부탁이야. 도와줘.|フェルン おねがい てつだって|
