# 형식: 種類|日本語|読み|韓国語|メモ   (E = 표현・문형, V = 단어)
E|味とかは変わらないの|あじとかは かわらないの|맛 같은 건 안 변하는 거야|〜とか=~같은 것(예시 나열)
E|どうしても変わってしまう|どうしても かわってしまう|아무래도 변해버린다|どうしても=아무래도·도저히
E|試してみよう|ためしてみよう|시험해 보자|〜てみる=~해 보다
E|相当な酒飲みでも気づかない|そうとうな さけのみでも きづかない|상당한 술꾼이라도 눈치 못 챈다|〜でも=~라도
E|ハイターの分も頼んでおいたよ|ハイターの ぶんも たのんでおいたよ|하이터 몫도 시켜놨어|〜ておく=미리 ~해 두다
E|みんなが私にお酒を勧めてくれるなんて|みんなが わたしに おさけを すすめてくれるなんて|다들 저한테 술을 권해주시다니|〜てくれる=(남이 나에게) ~해 주다, 〜なんて=~하다니
E|いつも世話になってるからね|いつも せわに なってるからね|늘 신세 지고 있으니까|世話になる=신세를 지다
E|お言葉に甘えて|おことばに あまえて|말씀에 기대어·사양 않고|관용구. 호의를 받아들일 때
V|ノンアルコール|ノンアルコール|논알코올|
V|駆けつけ一杯|かけつけいっぱい|늦게 온 사람이 먼저 마시는 한 잔|
V|坊主|ぼうず|중·스님|
