# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|알코올만? 맛 같은 건 안 변하는 거야?|アルコールだけ あじとかは かわらないの|
2|논알코올은 맛이 아무래도 변해버린다고 하더군.|ノンアルコールは あじが どうしても かわってしまうと いうぞ|
3|시험해 보자.|ためしてみよう|
4|맛은 마법을 걸기 전이랑 전혀 다르지 않아.|あじは まほうを かける まえと ぜんぜん かわらない|
5|그런데도 알딸딸해지지가 않네. 상당한 술꾼이라도 눈치 못 채겠는데 이건.|それなのに ぽわっともしてこないね そうとうな さけのみでも きづかないぞ これは|
6|죄송해요, 늦었습니다.|すみません おそくなりました|
7|하이터 몫도 시켜놨어.|ハイターの ぶんも たのんでおいたよ|
8|그럼 늦게 온 사람 벌주 한 잔으로.|じゃあ かけつけいっぱいって ことで|
9|별일이네요. 다들 저한테 술을 권해주시다니.|めずらしいですね みんなが わたしに おさけを すすめてくれるなんて|
10|늘 신세 지고 있으니까. 그 보답이야.|いつも せわに なってるからね その おれいさ|
11|그럼, 사양 않고 받겠습니다.|では おことばに あまえて|
12|이거 술이 아니네요.|これ おさけじゃ ないですね|
13|역시 중은 다르네.|さすが ぼうず|
