# 형식: 種類|日本語|読み|韓国語|メモ   (E = 표현・문형, V = 단어)
# --- 표현 ---------------------------------------------------
E|完全に運転してたマキナの責任だしさー|かんぜんに うんてんしてた まきなの せきにんだしさー|완전히 운전하던 마키나 책임이잖아|〜だしさー=이유 나열+가벼운 강조
E|そもそもドライブ行きたくなかったんだって|そもそも ドライブ いきたくなかったんだって|애초에 드라이브 가고 싶지도 않았다니까|そもそも=애초에, 〜んだって=~라니까(전문)
E|こういうことになったんじゃん|こういうことに なったんじゃん|이렇게 된 거잖아|〜ことになる=~하게 되다(결과)
E|懐かしー|なつかしー|그립다|형용사+ー(길게 늘여 감탄)
E|中学５年生の時|ちゅうがく ごねんせいの とき|중학교 5학년 때|時=때(시점)
E|そんなクソ野郎じゃないよー|そんな くそやろうじゃないよー|그렇게 쓰레기는 아니야|〜じゃない=~가 아니다(부정)
E|チハルのこと６時間またせたあげく|ちはるのこと ろくじかん またせたあげく|치하루를 6시간 기다리게 해놓고서는|〜たあげく=~한 끝에(안 좋은 결말)
E|アゴ殴って失神させたんすけど|あご なぐって しっしんさせたんすけど|턱을 때려서 기절시켰는데요|〜させる=사역형(~하게 만들다)
E|すぐそうやって暴力ふるうじゃん|すぐ そうやって ぼうりょく ふるうじゃん|바로 그렇게 폭력을 쓰잖아|暴力をふるう=폭력을 휘두르다
E|自分のこと守んないから|じぶんのこと まもんないから|자기 몸을 안 지키니까|守んない=守らない(구어 축약)
E|友達のいうことしか聞かないんだから|ともだちの いうことしか きかないんだから|친구 말밖에 안 들으니까|〜しか〜ない=~밖에 ~않다
E|反対側の運転室にあるはずだ|はんたいがわの うんてんしつに あるはずだ|반대쪽 조종실에 있을 거야|〜はずだ=~일 것이다(당연한 추측)
E|この列車止めるためのキーがあるはずだから|この れっしゃ とめるための キーが あるはずだから|이 열차 세우기 위한 키가 있을 테니까|〜ためのA=~하기 위한 A
# --- 단어 ---------------------------------------------------
V|とばっちり|とばっちり|억울하게 휘말림|
V|データバンク|データバンク|데이터뱅크|
V|マグショット|マグショット|머그샷(범죄자 사진)|
V|元カレ|もとかれ|전 남친|
V|正当防衛|せいとうぼうえい|정당방위|
V|上級生|じょうきゅうせい|상급생·선배|
V|経歴|けいれき|경력|
V|ナンパ|ナンパ|헌팅|
V|見下す|みくだす|깔보다·무시하다|
V|コントロール用のキー|コントロールようの キー|조종용 키|
V|先頭車両|せんとうしゃりょう|선두 차량|
