# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|야 치하루, 이거 완전 억울하게 휘말린 거 아니야?|ねぇ ちはる これ すごい とばっちりじゃない|
2|응?|んぇ|
3|아니, 속도위반한 건 완전히 운전하고 있던 마키나 책임이잖아|いや スピードいはんしたのって かんぜんに うんてんしてた まきなの せきにんだしさー|
4|아니 아니 아니|いやいやいや|
5|치하루가 음악을 안 틀었으면 속도를 안 냈…|ちはるが おんがく かけなかったら スピードだし|
6|경고 받았을 때 속도 올린 것도|けいこく うけたときに スピードあげたのも|
7|경찰 로봇 총으로 쏜 것도 마키나잖아!|けいさつロボ じゅうげきしたのも まきなじゃん|
8|나도 정신없었단 말이야!|あーしも てんぱってたんだよ|
9|정신없다고 경찰을 쏘지 말라고!|てんぱって けいさつ うたないでよ|
10|그러니까 나 애초에 드라이브 가고 싶지도 않았다니까!|だから あーし そもそも ドライブ いきたくなかったんだって|
11|치가 나를 꼬셔서 이렇게 된 거잖아!|ちぃが あーしのこと さそったから こういうことに なったんじゃん|
12|둘 다 기운 넘치네~|ふたりとも げんきだねー|
13|으어어어----!!!|おうぁーーー|
14|꺄악----!!!|やぁーーー|
15|미안해, 기다리게 해서|ごめんね またせちゃって|
16|두 사람 조사하다 보니 시간이 꽤 걸려서|ふたりのこと しらべてたら けっこう じかん かかっちゃって|
17|그거 알아? 마키나 너 굉장한 집안 출신이더라|あれなんだね まきなちゃんて すごいとこの しゅっしんなんだね|
18|아니 지금 저희 집안이랑 무슨 상관이에요?|いま うちの かていのこと かんけいなくないっすか|
19|음, 뭐 그런가|んー まぁ そうかな|
20|그래서 말인데, 둘 다 지금까지도 경찰 신세를 꽤 진 것 같은데?|それで なんか ふたりとも これまでにも けっこう けいさつの おせわに なってるの|
21|아, 네|あ はい|
22|데이터뱅크에 머그샷 남아있더라~|データバンクに マグショット のこってたよー|
23|이건 두 사람이 중학교 5학년 때?|これは ふたりが ちゅうがく ごねんせいの とき|
24|우와 그립다|うわー なつかしー|
25|어, 이거 언제 적이지?|えー なんの ときだ これ|
26|그거 아니야? 마키나가 켄 기절시켰을 때 아니야?|あれじゃない まきなが けんくん しっしんさせた ときじゃない|
27|아, 이즈켄?|あー イズケン|
28|켄이라면, 피해자 남자애?|けんくんって ひがいしゃの おとこのこ|
29|응, 치하루 전 남친|そう ちはるの もとかれ|
30|완전 개쓰레기예요|ちょう くそやろうなんすよ|
31|아니|いや|
32|그래?|そうなの|
33|그렇게 쓰레기는 아니야~|そんな くそやろうじゃないよー|
34|약속 잡고서 치하루를 6시간이나 기다리게 해놓고서는|まちあわせで ちはるのこと ろくじかん またせたあげく|
35|바람맞힌 놈이라니까요|すっぽかす やつっすからね|
36|아, 그건 쓰레기네|あー それは くそだわ|
37|쓰레기죠, 그렇죠|くそっすよね ほら|
38|아니라니까~ 켄이 감기 걸렸었대|ちーがーうよー けんくん かぜひいてたんだって|
39|그래서 턱을 때려서 기절시켰는데요|だから あご なぐって しっしんさせたんすけど|
40|아니 그건 안 되지|いや それは だめだろ|
41|마키나 넌 바로 그렇게 폭력 쓰잖아|まきな すぐ そうやって ぼうりょく ふるうじゃん|
42|너는 좀 더 네 걱정이나 해!|おまえは もっと じぶんのこと きにしろよ|
43|네네 거기까지|はいはい そこまで|
44|이쪽은? 이것도 비슷한 느낌?|こっちは これも にたような かんじ|
45|아, 마키나가 선배들을 두들겨 팬 때다|あー まきなが じょうきゅうせい ぼこぼこにした ときだ|
46|이건 진짜 정당방위였다고!|これは まじで せいとうぼうえいだったから|
47|다섯 명이나 병원에 실려갔네|ごにん びょういんおくりに なってるね|
48|호들갑이라니까|おおげさなんだよ|
49|그건 좀 불쌍하긴 했어|さすがに ちょっと かわいそうだったよ|
50|그냥 헌팅해온 것뿐인데|ただ ナンパしてきただけなのに|
51|아니 그건 헌팅 수준이 아니었어|いや あれは ナンパのレベルじゃなかった|
52|치하루 진짜 위험했다니까|ちはる あぶなかったよ まじで|
53|뭐 확실히 이 다섯 명 다 변변한 경력은 아니네|まぁ たしかに こいつら ごにん ぜんいん ろくな けいれきじゃないね|
54|그렇죠!? 봐요!|でしょ!? ほら|
55|뭐 그래서 두들겨 팼는데요|まぁだから ぼこぼこにしたんすけど|
56|그러니까 안 된다니까|だから だめだろ|
57|왜 바로 폭력으로 해결하려는 건데, 진짜 무섭거든|なんで すぐ ぼうりょくで かいけつしようと すんの ほんとこわいんだけどー|
58|치가 자기 몸을 안 지키니까 내가 몸으로 막는 거잖아|ちぃが じぶんのこと まもんないから あーしが からだはってるんじゃん|
59|후루카와가 치 폰 화면 깼을 때도 치 아무 말 안 했잖아|ふるかわが ちぃの ピコポの がめん わったときも ちぃ なんもいわなかったじゃん|
60|아니 그 뒤에 아키가 완전 사과했으니까|いや あのあと アッキー めっちゃ あやまってきたからね|
61|근데 결국 변상은 안 시켰잖아|でも けっきょく べんしょう さしてないべ|
62|이게 뭔데요|なんすか これ|
63|이거 동네 초등학생들한테 나눠주고 하는 거|これ じもとの しょうがくせいに くばったりしてる やつ|
64|두 사람한테 딱 맞는 게 있어서 줄게|ふたりに ちょうどいいの あったから あげるよ|
65|초등학생 취급인가요?|しょうがくせい あつかいですか|
66|근데 치하루는 필요 없잖아요, 그냥 휘말린 것뿐이니까|てか ちはるは いらないでしょ まきこまれてるだけなんだから|
67|아니, 이런 위험한 애는 친구 말밖에 안 들으니까|いや こういう やばいひとは ともだちの いうことしか きかないんだから|
68|마키나 제대로 안 말린 너한테도 책임이 있어|ちゃんと まきなちゃんのこと とめない あなたにも せきにんが あるよ|
69|맞아 치한테도|そーだよ ちぃにも|
70|그리고 넌 다른 사람 너무 무시해!|そんで おまえは たのひとのこと みくだしすぎ|
71|치하루 말고 다른 애들이랑도 사이좋게…|ちはるちゃん いがいとも なかよく|
72|왜냐면 쓰레기 같은 애들만 꼬이는걸|だって くそみたいな やつばっか よってくんだもん|
73|마키나|まきなちゃん|
74|경찰 신세 17번이나 진 너도 충분히 쓰레기니까|けいさつに じゅうななかい おせわになってる あなたも じゅうぶん くそだから|
75|지금 그런 부분 고쳐두지 않으면|いまのうちに そういうとこ なおしとかないと|
76|진짜 위험해졌을 때 아무도 도와주지 않을 거야?|まじで やばくなったとき だれも たすけてくれないよ|
77|그런 순간 안 온다니까|そんな しゅんかん こないっしょ|
78|올 수도 있어?|くるかもよ|
79|안 와|こない|
80|오면 어쩔 건데?|きたら どうすんの|
81|안 온다니까!|こねぇって|
82|왔다…|きた|
83|진짜 심각하네~|まじで やばいねー|
84|잠깐, 잠깐, 잠깐만|まって まって まって|
85|이거 진짜 심각한 거 아니야!?|これは まじで やばいんじゃない!?|
