# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|프리렌 님, 이번에 보상으로 받은 몸과 마음이 바뀌는 마법, 사람들에게 민폐일 것 같으니 쓰지 말아 두죠.|ふりーれんさま こんかいの ほうしゅうで もらった こころと からだが いれかわる まほう ひとが めいわくすると おもうので つかわないで おきましょう|
2|왜 그럴까?|なんで そうかな|
3|재밌을 것 같은데.|おもしろそうじゃん|
4|예를 들면 겉모습은 나인데 속은 스승님이란 거잖아. 좀 해보고 싶은데.|たとえば がいけんは おれでも なかみは ししょうって ことだろ ちょっと やってみたいけどな|
5|스승님이라고 생각하고 얘기했더니 유치하다고 하더라고요.|ししょうだと おもって はなしたら ようちだと いってくるんですよね|
6|저 구름, 응가 같지 않아?|あの くも うんこみたいじゃない|
7|어, 뭐야 그거, 너무하지 않아?|え なにそれ ひどくない|
8|페른, 마법은 탐구심이야. 역시 써 보자.|フェルン まほうは たんきゅうしんだ やっぱり つかってみよう|
9|나랑 페른이랑 바꿀게.|わたしと フェルンで いれかえるよ|
10|어, 잠깐만 기다려 주세요.|え ちょっとまってください|
11|페른!|フェルン|
12|왜 그러세요?|なんですか|
13|오, 대단하지?|おお すごいでしょ|
14|진짜로 바뀌었어.|ほんとうに いれかわってる|
15|잠시 이대로 지내 보자.|しばらく このままで すごしてみよう|
16|어, 프리렌 님, 일어나세요.|え ふりーれんさま おきてください|
17|정리해 주세요, 프리렌 님.|かたづけてください ふりーれんさま|
18|어두워, 무서워.|くらいよ こわいよ|
19|프리렌 님.|ふりーれんさま|
20|이제 그만하죠, 프리렌 님.|もう おわりにしますよ ふりーれんさま|
21|네.|はい|
