# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
様|様|よう|~님|양
今回|今回|こんかい|이번|금회
報酬|報酬|ほうしゅう|보상|보수
心|心|こころ|마음|심
体|体|からだ|몸|체
入れ替わる,入れ替わっ|入れ替わる|いれかわる|뒤바뀌다·서로 바뀌다|입체
魔法|魔法|まほう|마법|마법
人|人|ひと|사람|인
迷惑|迷惑|めいわく|민폐·폐|미혹
思う,思っ|思う|おもう|생각하다|사
使わ,使っ,使い|使う|つかう|쓰다·사용하다|사
面白|面白い|おもしろい|재미있다|면백
例えば|例えば|たとえば|예를 들면|례
外見|外見|がいけん|겉모습|외견
俺|俺|おれ|나(남자의 1인칭)|엄
中身|中身|なかみ|속·내용물|중신
師匠|師匠|ししょう|스승|사장
話し|話す|はなす|이야기하다|화
幼稚|幼稚|ようち|유치함|유치
言っ,言う|言う|ゆう|말하다|언
雲|雲|くも|구름|운
何|何|なん|무엇|하
探求|探求|たんきゅう|탐구|탐구
私|私|わたくし|나·저|사
入れ替える|入れ替える|いれかえる|서로 바꾸다|입체
待っ|待つ|まつ|기다리다|대
本当|本当|ほんとう|정말·진짜|본당
過ごし|過ごす|すごす|지내다·보내다|과
起き|起きる|おきる|일어나다|기
片付け|片付ける|かたづける|정리하다·치우다|편부
暗い|暗い|くらい|어둡다|암
怖い|怖い|こわい|무섭다|포
終わり|終わり|おわり|끝|종
一|一|いち|하나·1|일
級|級|きゅう|급|급
試験|試験|しけん|시험|시험
合格|合格|ごうかく|합격|합격
受け|受ける|うける|받다|수
特権|特権|とっけん|특권|특권
好き|好き|すき|좋아함|호
授け|授ける|さずける|내려주다·수여하다|수
洗濯|洗濯|せんたく|빨래·세탁|세탁
正気|正気|せいき|제정신|정기
お前|御前|おまえ|너(お前)|어전
白い|白い|しろい|희다|백
服|服|ふく|옷|복
頑固|頑固|がんこ|찌든·완고함|완고
黄|黄|き|누런빛|황
取る|取る|とる|없애다·제거하다·가지다|취
着|着る|きる|입다|착
気|気|き|기운·마음|기
他|他|ほか|다른(것)|타
天気|天気|てんき|날씨|천기
気候|気候|きこう|기후|기후
乾く|乾く|かわく|마르다|건
生乾き|生乾き|なまがわき|덜 마름|생건
心配|心配|しんぱい|걱정|심배
綺麗|奇麗|きれい|깨끗함·예쁨|기려
畳む|畳む|たたむ|개다·접다|첩
隠し|隠す|かくす|숨기다|은
役|役|やく|도움·역할|역
立ち|立つ|たつ|(도움이) 되다·서다|립
本質|本質|ほんしつ|본질|본질
迫る|迫る|せまる|다가가다·다가오다|박
伝説|伝説|でんせつ|전설|전설
汚れ|汚れ|よごれ|얼룩·때|오
落とす|落とす|おとす|(얼룩을) 빼다·떨어뜨리다|락
度|度|ど|~번(횟수)|도
聞く|聞く|きく|묻다·듣다|문
超|超|ちょう|초(超, 매우)|초
攻撃|攻撃|こうげき|공격|공격
今|今|いま|지금|금
髪|髪|かみ|머리카락|발
手入れ|手入れ|ていれ|손질|수입
簡単|簡単|かんたん|간단함|간단
愚問|愚問|ぐもん|어리석은 질문|우문
魔族|魔族|まぞく|마족|마족
倒し|倒す|たおす|쓰러뜨리다|도
戻ろう|戻る|もどる|돌아가다|려
頭|頭|あたま|머리|두
魔導|魔導|まどう|마도|마도
書|書|しょ|~서(책)|서
礼|礼|れい|답례·인사|례
残念|残念|ざんねん|아쉬움|잔념
空|空|そら|하늘|공
戦い|戦い|たたかい|싸움|전
見|見る|みる|보다|견
相当|相当|そうとう|상당히|상당
手練れ|手足れ|てだれ|실력자·수완가|수족
冷静|冷静|れいせい|냉정함|랭정
可愛い|可愛い|かわいい|귀엽다|가애
もの好き|物好き|ものずき|~을 좋아함(별난 취향)|물호
考え|考える|かんがえる|생각하다|고
恐ろしい|恐ろしい|おそろしい|무섭다·두렵다|공
残酷|残酷|ざんこく|잔인함|잔혹
衝動|衝動|しょうどう|충동|충동
抑え|押さえる|おさえる|억누르다·참다|압
思い出し|思い出す|おもいだす|떠올리다·생각해내다|사출
本性|本性|ほんしょう|본성|본성
好戦|好戦|こうせん|호전적|호전
的|的|まと|~적|적
急ぎ,急ぐ|急ぐ|いそぐ|서두르다|급
前|前|まえ|앞|전
歩い|歩く|あるく|걷다|보
