# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|좋은 냄새라고 해도, 어떤 냄새일까.|いい においって いっても どういう においなんだろう|
2|사람마다 좋다고 느끼는 냄새가 다르니까요.|ひとそれぞれ いいと かんじる においって ちがいますからね|
3|향수 같은 느낌이거나, 꽃향기거나, 상쾌한 향이거나 하겠죠.|こうすいの ような かんじや はなの かおりだったり さわやかな かおりだったりでしょうか|
4|시험해 볼까.|ためしてみようか|
5|저기, 슈타르크.|ねえ シュタルク|
6|어, 왜?|あ なに|
7|프리렌 님, 고기 굽는 것 같은 냄새가.|ふりーれんさま おにくを やいたような においが|
8|엄청 고소하네. 식욕을 돋운다고 할까.|すごく こうばしいね しょくよくを そそると いうか|
9|이 마법을 만든 마법사한테는 좋은 냄새라는 뜻인가 보네요.|この まほうを つくった まほうつかいに とって いい においと いうことの ようですね|
10|맛있는 냄새네. 뭐랄까, 오늘 저녁 뭐 먹지?|おいしそうな においだな なんていうか きょうの ばんめし どうする|
11|고기.|にく|
12|뭔가 무서운데.|なんか こわいんだけど|
